City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,kamaishi,39.2667,141.8833,25.63,79,9,1.28,JP,1694846519
143,mount isa,-20.7333,139.5,31.87,14,0,4.12,AU,1694846519
144,luanda,-8.8368,13.2343,22.0,88,75,1.54,AO,1694846519
145,ilulissat,69.2167,-51.1,3.01,93,100,9.77,GL,1694846519
146,isiro,2.7739,27.616,22.78,84,100,1.04,CD,1694846520
147,san patricio,28.017,-97.5169,27.92,74,100,2.76,US,1694846520
148,muroto-misakicho,33.2833,134.15,27.83,77,14,4.27,JP,1694846520
149,nemuro,43.3236,145.575,19.14,91,100,4.43,JP,1694846244
150,kismayo,-0.3582,42.5454,27.28,68,11,5.41,SO,1694846521
151,palmer,42.1584,-72.3287,16.46,66,0,5.14,US,1694846261
152,tiassale,5.8983,-4.8283,23.29,96,100,1.28,CI,1694846521
153,gadzhiyevo,69.2551,33.3362,7.28,73,66,5.32,RU,1694846521
154,bikenibeu village,1.3673,173.1241,28.98,79,75,2.57,KI,1694846522
155,mareeba,-17.0,145.4333,23.58,66,0,3.97,AU,1694846522
156,miyako,39.6367,141.9525,24.84,82,25,1.77,JP,1694846522
157,awjilah,29.1081,21.2869,26.26,36,0,2.7,LY,1694846522
158,tawau,4.2498,117.8871,32.07,66,10,4.02,MY,1694846523
159,iranshahr,27.2025,60.6848,36.19,38,93,3.09,IR,1694846523
160,buala,-8.145,159.5921,25.57,88,100,2.67,SB,1694846523
161,nuuk,64.1835,-51.7216,2.34,80,75,5.66,GL,1694846523
162,sokoni,-6.4333,39.55,25.49,74,83,5.45,TZ,1694846523
163,saint-philippe,-21.3585,55.7679,26.77,72,38,6.35,RE,1694846524
164,ghadamis,30.1337,9.5007,27.88,17,2,4.77,LY,1694846524
165,thompson,55.7435,-97.8558,7.09,93,100,1.54,CA,1694846524
166,college,64.8569,-147.8028,9.33,79,40,3.09,US,1694846524
167,anadyr,64.75,177.4833,4.28,93,40,2.0,RU,1694846524
168,krasnoufimsk,56.6059,57.7669,18.0,58,98,1.21,RU,1694846525
169,huarmey,-10.0681,-78.1522,18.69,87,74,2.47,PE,1694846525
170,aasiaat,68.7098,-52.8699,0.82,94,100,5.69,GL,1694846525
171,qaqortoq,60.7167,-46.0333,4.36,93,100,3.95,GL,1694846525
172,haiku-pauwela,20.9219,-156.3051,25.58,82,20,6.69,US,1694846525
173,san borja,-14.8167,-66.85,21.59,60,12,1.06,BO,1694846526
174,itoman,26.1247,127.6694,29.01,87,75,4.12,JP,1694846526
175,mount gambier,-37.8333,140.7667,16.47,70,0,5.83,AU,1694846526
176,pariaman,-0.619,100.12,29.03,75,26,3.8,ID,1694846527
177,pisco,-13.7,-76.2167,19.03,77,75,1.54,PE,1694846527
178,arkalyk,50.2486,66.9114,18.01,42,58,3.11,KZ,1694846527
179,guatire,10.4762,-66.5427,22.29,95,94,0.88,VE,1694846443
180,warmbad,-28.45,18.7333,9.71,66,100,5.46,NA,1694846528
181,ola,59.5833,151.2833,12.86,76,100,2.3,RU,1694846528
182,kununurra,-15.7667,128.7333,33.99,20,10,5.66,AU,1694846465
